"year","id","re","treat","age","education","black","hispanic","married","nodegree","u74","u75","uniqueid"
1978,1,9930.05,1,37,11,1,0,1,1,1,1,"1-1978"
1978,2,3595.89,1,22,9,0,1,0,1,1,1,"2-1978"
1978,3,24909.5,1,30,12,1,0,0,0,1,1,"3-1978"
1978,4,7506.15,1,27,11,1,0,0,1,1,1,"4-1978"
1978,5,289.79,1,33,8,1,0,0,1,1,1,"5-1978"
1978,6,4056.49,1,22,9,1,0,0,1,1,1,"6-1978"
1978,7,0,1,23,12,1,0,0,0,1,1,"7-1978"
1978,8,8472.16,1,32,11,1,0,0,1,1,1,"8-1978"
1978,9,2164.02,1,22,16,1,0,0,0,1,1,"9-1978"
1978,10,12418.1,1,33,12,0,0,1,0,1,1,"10-1978"
1978,11,8173.91,1,19,9,1,0,0,1,1,1,"11-1978"
1978,12,17094.6,1,21,13,1,0,0,0,1,1,"12-1978"
1978,13,0,1,18,8,1,0,0,1,1,1,"13-1978"
1978,14,18739.9,1,27,10,1,0,1,1,1,1,"14-1978"
1978,15,3023.88,1,17,7,1,0,0,1,1,1,"15-1978"
1978,16,3228.5,1,19,10,1,0,0,1,1,1,"16-1978"
1978,17,14581.9,1,27,13,1,0,0,0,1,1,"17-1978"
1978,18,7693.4,1,23,10,1,0,0,1,1,1,"18-1978"
1978,19,10804.3,1,40,12,1,0,0,0,1,1,"19-1978"
1978,20,10747.4,1,26,12,1,0,0,0,1,1,"20-1978"
1978,21,0,1,23,11,1,0,0,1,1,1,"21-1978"
1978,22,5149.5,1,41,14,0,0,0,0,1,1,"22-1978"
1978,23,6408.95,1,38,9,0,0,0,1,1,1,"23-1978"
1978,24,1991.4,1,24,11,1,0,0,1,1,1,"24-1978"
1978,25,11163.2,1,18,10,1,0,0,1,1,1,"25-1978"
1978,26,9643,1,29,11,1,0,1,1,1,1,"26-1978"
1978,27,9897.05,1,25,11,1,0,0,1,1,1,"27-1978"
1978,28,11142.9,1,27,10,0,1,0,1,1,1,"28-1978"
1978,29,16218,1,17,10,1,0,0,1,1,1,"29-1978"
1978,30,995.7,1,24,11,1,0,0,1,1,1,"30-1978"
1978,31,0,1,17,10,1,0,0,1,1,1,"31-1978"
1978,32,6551.59,1,48,4,1,0,0,1,1,1,"32-1978"
