black,hispanic,married,education,treat,age,re74,re75,re78
0,0,0,11,0,21,0.0,0.0,1572.9313731199254
0,1,1,9,1,45,31290.078029727298,30405.905364371923,51989.59649855275
0,0,1,15,1,32,19651.522198645052,35313.77195292376,44591.732142563174
0,0,0,10,0,20,12806.94781082754,10820.684512703261,0.0
1,0,1,9,0,29,2179.170220934322,5657.488231930962,30083.371999152325
0,0,0,14,1,19,26075.87147142656,13957.315426204806,45657.430782248324
0,0,1,11,0,29,16266.106520935595,4373.445184121767,21313.869105494057
1,0,1,9,0,23,10651.633975412664,16025.563496770157,34015.234720452565
0,0,1,9,1,37,24491.849453120558,28457.803328667353,39814.492323700004
1,0,1,10,0,32,24894.04076940296,27413.821638803303,36470.96077352152
0,0,1,12,1,37,8615.854528908463,4378.005684607757,4545.534556266446
1,0,1,7,0,40,28.097370694060373,563.4047485479714,3599.555769796878
0,0,1,15,0,31,24160.990241661013,22765.932089011298,40947.90937756434
0,0,1,16,0,60,42416.63796384816,36952.40053125374,56802.591147140694
0,0,1,10,0,27,23561.89387042598,20063.298877811903,20881.06208803568
0,0,1,12,0,28,15576.983413512364,17014.366236582704,37990.49400295909
1,0,1,5,1,35,15802.66347539373,20757.302322973454,6038.736828394439
0,0,1,14,0,39,32608.35925250526,41838.62549212921,33597.41844916287
1,0,1,11,1,23,12874.186478772011,6566.06330642244,14348.260506444325
0,0,0,15,0,28,14994.152114737608,15062.496603076208,12191.689444087328
0,0,1,5,0,41,3169.057455076989,0.0,0.0
0,0,1,10,0,44,27320.541048828214,14045.833695205374,29757.427111859513
0,0,1,19,0,27,25747.086354202344,30630.20334956186,16889.47806273508
1,0,1,17,1,24,31207.37870682511,28787.843267753506,44749.353312907806
0,0,1,14,1,36,35029.06635020593,34606.19919694617,42335.934527073616
0,0,1,15,1,34,10876.912272254807,0.0,8614.082199066517
0,0,1,12,1,35,22073.836926144842,20803.789596756345,26408.319578653776
1,0,0,12,1,20,0.0,0.0,14086.729591141157
0,0,0,11,0,40,25652.00774675823,41720.39535972988,38166.76726428335
1,0,0,11,1,19,19191.473614485665,17347.464021054155,29754.312084590412
0,0,1,10,0,36,26904.555752763255,19055.60097822181,20154.717680357262
1,0,1,10,0,30,15753.995859009308,15834.690683642995,11304.895340402029
1,0,1,13,0,38,19082.596085530702,14960.957191526935,22150.304047889695
0,0,1,9,0,29,10677.564676844884,28251.74911441104,25669.126382723825
0,0,1,13,0,44,25153.004252549916,26939.454669876737,32530.352962023433
1,0,1,5,1,52,16303.419229703413,22119.461822064633,23696.52998050884
0,0,1,10,0,31,27173.66253342694,17013.64818424559,25812.335169991013
0,0,1,11,0,44,0.0,0.0,0.0
0,0,1,12,0,35,39105.48677536819,30222.182166628034,40350.168209773794
1,0,0,12,1,37,8515.464731074357,4946.239705733871,20029.303796542044
0,0,0,13,1,18,2714.0756477587383,8575.16057133804,14759.367112028227
0,0,1,10,0,47,32855.9156048338,28186.38003431153,28715.19596610149
1,0,1,7,0,24,5349.002455560601,0.0,11495.668453913888
1,0,1,13,1,25,9152.963771625757,12796.411298727458,18425.188602261507
0,0,1,10,0,33,26927.348466035528,26905.52410562014,25158.251770576706
0,0,1,16,0,47,7157.7621996967755,6380.14494709318,7456.172395801721
1,0,0,11,1,17,24876.78947834376,14278.889771160217,45475.73846979345
0,0,1,12,0,26,44313.83873691535,40165.59571972879,56511.90684893882
1,0,1,15,0,34,36268.67890765116,31372.270673779974,45390.608814579704
1,0,1,11,0,30,29356.746524728173,16760.83272557809,29499.68593464585
0,0,1,14,1,41,21142.606169576353,28266.548642415237,23621.471385237866
0,0,1,13,1,27,38108.22349191016,33183.371917919765,29774.091159487598
0,0,1,17,0,51,20022.40111160047,7489.559358021541,7476.441801898927
0,1,1,8,0,37,3999.107177486112,15095.897936075002,28914.981156710564
1,0,1,9,1,51,18794.639236492083,14804.490424472227,10729.512475553154
