age,y,education,black,hispanic,married,nodegree,re74,re75,re78,u74,u75,treat,id
37,9930.05,11,1,0,1,1,0.0,0.0,9930.05,1,1,1,1
22,3595.89,9,0,1,0,1,0.0,0.0,3595.89,1,1,1,2
30,24909.5,12,1,0,0,0,0.0,0.0,24909.5,1,1,1,3
27,7506.15,11,1,0,0,1,0.0,0.0,7506.15,1,1,1,4
33,289.79,8,1,0,0,1,0.0,0.0,289.79,1,1,1,5
22,4056.49,9,1,0,0,1,0.0,0.0,4056.49,1,1,1,6
23,0.0,12,1,0,0,0,0.0,0.0,0.0,1,1,1,7
32,8472.16,11,1,0,0,1,0.0,0.0,8472.16,1,1,1,8
22,2164.02,16,1,0,0,0,0.0,0.0,2164.02,1,1,1,9
33,12418.1,12,0,0,1,0,0.0,0.0,12418.1,1,1,1,10
19,8173.91,9,1,0,0,1,0.0,0.0,8173.91,1,1,1,11
21,17094.6,13,1,0,0,0,0.0,0.0,17094.6,1,1,1,12
18,0.0,8,1,0,0,1,0.0,0.0,0.0,1,1,1,13
27,18739.9,10,1,0,1,1,0.0,0.0,18739.9,1,1,1,14
17,3023.88,7,1,0,0,1,0.0,0.0,3023.88,1,1,1,15
19,3228.5,10,1,0,0,1,0.0,0.0,3228.5,1,1,1,16
27,14581.9,13,1,0,0,0,0.0,0.0,14581.9,1,1,1,17
23,7693.4,10,1,0,0,1,0.0,0.0,7693.4,1,1,1,18
40,10804.3,12,1,0,0,0,0.0,0.0,10804.3,1,1,1,19
26,10747.4,12,1,0,0,0,0.0,0.0,10747.4,1,1,1,20
23,0.0,11,1,0,0,1,0.0,0.0,0.0,1,1,1,21
41,5149.5,14,0,0,0,0,0.0,0.0,5149.5,1,1,1,22
38,6408.95,9,0,0,0,1,0.0,0.0,6408.95,1,1,1,23
24,1991.4,11,1,0,0,1,0.0,0.0,1991.4,1,1,1,24
18,11163.2,10,1,0,0,1,0.0,0.0,11163.2,1,1,1,25
29,9643.0,11,1,0,1,1,0.0,0.0,9643.0,1,1,1,26
25,9897.05,11,1,0,0,1,0.0,0.0,9897.05,1,1,1,27
27,11142.9,10,0,1,0,1,0.0,0.0,11142.9,1,1,1,28
17,16218.0,10,1,0,0,1,0.0,0.0,16218.0,1,1,1,29
24,995.7,11,1,0,0,1,0.0,0.0,995.7,1,1,1,30
17,0.0,10,1,0,0,1,0.0,0.0,0.0,1,1,1,31
48,6551.59,4,1,0,0,1,0.0,0.0,6551.59,1,1,1,32
