black,hispanic,married,nodegree,treat,age,re74,re75,re78
0,0,1,0,0,36,13813.80235071252,17623.645919194187,12152.068772670613
0,0,0,1,0,35,18273.275808522438,15273.716033364024,11531.037699191005
0,0,1,0,0,21,11801.523376676672,13316.908748083084,7680.688801704266
0,0,1,1,0,39,25727.479835600574,27255.32519863391,34135.08159345961
1,0,1,1,1,39,2907.7311603723265,3864.6696532388487,15933.404811711884
0,0,1,0,0,32,17384.371636012747,13988.314730724804,30073.047931625362
0,0,1,0,1,49,52687.47807386381,46207.6098178814,26293.65734409978
0,0,1,0,1,47,18285.53273267831,26021.289063629392,25812.009301256694
0,0,1,0,0,51,43949.77274035045,35801.100454719475,26325.503370032966
1,0,1,0,0,25,8402.819934116582,13248.890359389461,14885.328871105226
0,0,0,1,0,45,24527.143281062876,21540.555989465916,23722.169235035628
0,0,1,0,1,44,43449.93315975185,54051.47027488898,46262.864942339555
1,0,1,0,1,43,5312.265268115141,5292.7317907759625,4998.208420929812
1,0,0,1,1,20,14317.208254885074,6403.867257345084,5048.974673407585
0,0,1,0,0,43,12013.147188764451,12690.819555106642,0.0
0,0,1,0,0,30,32308.20513467615,38568.256428534936,30893.648686255292
1,0,1,1,1,41,18747.763200453803,16105.264146563582,23014.828590566016
0,0,1,0,0,23,0.0,0.0,0.0
0,0,1,1,1,36,27396.79191559928,26301.283162843363,29848.066383268397
0,0,1,0,0,35,19664.478126632996,12842.331451537131,29464.484764952478
0,0,1,0,1,38,43514.715707527736,26693.18496516559,33863.947383124265
1,0,1,0,1,28,13918.780097835901,14649.008408358335,37114.439478994784
0,0,1,0,0,59,0.0,2772.692786809952,3102.804167605591
1,0,1,1,0,45,14088.438770024335,8734.739647841123,24974.757242420346
1,0,0,1,0,37,11601.018471432131,9927.374970566378,14385.916690998485
0,0,1,0,1,28,33637.74646273419,37091.55441419898,43623.00620622469
0,0,1,0,0,37,28078.74384396325,26958.62485142569,31201.07272043436
0,0,1,0,0,36,9417.604780365244,14260.538637978396,19320.156364751547
1,0,0,0,1,19,10117.339459718803,5506.716523634681,24445.518430198143
0,0,1,1,0,35,28695.59190644016,20785.86963020335,34700.6458603076
0,0,1,0,0,31,19356.72543180289,29857.935586585954,21683.01796903212
0,0,1,0,0,35,28825.76601901096,27757.823669449965,28554.04428382162
0,0,1,0,0,29,14161.676670965464,7147.484136932411,35647.71272100388
0,0,1,1,1,23,2407.349683355129,0.0,5315.7045990754905
0,0,1,0,0,34,8435.213771264229,6399.011789676697,25853.917428619694
0,0,1,1,0,53,19339.42757177715,23402.224767745225,14492.561264861395
0,0,1,0,0,47,27063.95381271787,15292.518575746746,9238.299762740206
0,0,1,1,1,26,20169.74104442347,22818.790274064293,28898.52626370589
1,0,1,1,1,53,26450.083215318977,23357.929797947625,31947.610045736245
0,0,1,0,1,25,18055.597054259684,11985.38132647088,45473.91038101551
0,0,1,0,0,42,3958.096334504895,12291.227072621252,17837.638542151424
1,0,1,1,1,39,11296.752299438014,10559.461235127372,9187.870550857504
0,0,1,0,0,29,29627.726937341384,22538.069766708268,42597.07888610799
1,0,1,0,0,27,16826.48488962881,17581.916913495694,26132.732868124418
1,0,1,0,1,37,4882.961390171964,15112.666230846602,24718.15532994504
0,0,1,1,1,29,16509.500000893204,15882.786982418402,11974.188742871389
0,0,1,1,1,49,8697.66157634516,0.0,3709.186765793789
1,0,1,0,0,22,8112.1105409061565,3182.18122893327,18533.758822456675
0,0,1,0,0,45,30465.177971904046,16869.472832421547,41735.7930770703
0,0,0,0,0,36,25248.879608361185,11883.180688105616,20039.629812195755
0,0,0,0,0,35,31929.940240892618,23879.8413709686,21362.07663136052
1,0,1,0,0,35,23062.473665594727,24776.02963023264,34799.67562120613
0,0,1,0,1,28,13850.592302113415,19924.15025521735,15906.777756476116
0,0,1,1,0,56,17132.45618709531,11616.546696435358,26934.890076211268
0,0,1,0,0,33,41555.842315882284,47065.5018602431,39433.30244892702
0,0,0,0,0,29,0.0,7140.438169646859,28216.901642255325
0,0,0,0,0,26,22170.710342858652,23143.29663234584,24177.26193734394
