black,hispanic,married,nodegree,treat,age,re74,re75,re78
0,0,1,1,0,29,0.0,0.0,0.0
0,0,1,1,1,40,15938.71841820213,5264.364429284563,23005.792948452043
0,0,1,0,0,28,7624.725929829863,2394.9170881682876,11630.4330770938
0,0,1,0,0,41,19781.103654915383,23246.192601122235,21584.17491942441
0,0,1,0,1,26,0.0,0.0,1529.1966959147621
1,0,0,0,0,17,26613.188072692,21895.444686342318,22711.753749094558
0,0,1,0,1,39,14545.817649817802,7225.221837153575,5192.3756841710665
1,0,0,0,0,20,10063.631099090464,5354.121295476343,27717.181242879327
0,0,1,0,1,29,22404.61582899801,26233.55117677412,53984.460590765375
0,0,1,0,0,34,38090.505665784716,39147.03117766962,41837.75244777247
0,0,1,0,1,41,14287.943857159009,12446.95506065802,9912.028335775798
0,0,1,1,0,47,13551.429372281169,22905.012860266877,31267.238253500804
0,0,1,0,0,26,13807.325520021577,8023.784473781558,16888.44032773755
0,0,0,0,0,33,10793.261486270552,4305.594472034547,0.0
1,0,1,1,1,44,12770.670072603041,14659.643642985602,17766.298827506125
0,0,1,0,0,33,4491.415092146744,0.0,0.0
1,0,0,0,1,26,7791.525266283199,13333.291894016744,18947.113639056945
0,0,1,0,1,35,13449.5740052503,12831.862300753211,12949.131158233602
1,0,0,1,0,45,5348.459567445398,10930.862135479922,4495.971981674936
0,0,1,0,0,24,0.0,10709.477699647643,0.0
0,0,1,1,0,39,8643.885921659927,92.41122406080831,8229.960391101076
1,0,1,0,1,36,22967.47667827434,21242.516591359836,25279.06732443799
0,0,1,0,0,37,22391.217958486624,23716.83897613459,10210.32134337079
0,0,1,1,1,33,0.0,3394.5337567212264,9212.828296219468
0,0,1,0,1,25,8022.676221703137,23053.335537305586,23466.872978602853
0,0,0,0,0,29,18141.18594259331,17989.5153748826,5152.824051887987
0,0,1,1,0,45,11202.548162088564,15255.296534013563,15153.328533973821
1,0,1,1,1,22,7534.3777657596265,4309.26218255216,11585.057916442827
1,0,1,1,1,32,17135.73540770691,13702.313799138312,13449.056628934757
1,0,0,0,0,19,8876.885869196782,12416.845182780507,22571.163151020228
0,0,1,0,0,30,7047.7416767672,10480.521356852483,19667.960329542213
0,0,1,0,0,39,16602.986654847202,22332.799460530667,23040.524458881417
0,0,1,0,0,35,43015.21522175211,39117.730334249776,32977.152278024834
1,0,0,1,0,16,7414.833037248924,2704.268514576197,18364.776114747372
0,0,1,0,1,35,7300.3018480460305,16523.603938942728,27003.337880769985
0,0,0,0,0,23,5999.748323450658,15557.04043869975,4648.226648584321
0,0,0,0,0,19,29967.804654536783,25891.506385622386,36054.638187132805
0,0,1,0,0,28,11033.46016725545,8819.118597785196,17232.639870903055
0,0,1,0,0,30,23978.575193361212,21106.930142852012,23257.08540385564
1,0,1,1,0,31,9415.011418367041,6720.508706831748,3913.173212717411
0,0,1,1,1,31,13599.324881757831,8447.072315074518,19069.41860725679
0,0,1,0,1,24,10880.299416525946,6771.416647776561,33557.07580606505
0,0,1,0,1,41,508.23991365559596,1112.4476517557796,1529.1966959147621
0,0,1,0,1,21,23922.918671758223,32180.62570775929,32678.570959675482
1,0,1,0,0,31,17356.42057373195,12651.046505621442,16657.547643098565
0,0,0,0,1,30,27170.16214500886,18109.72553337091,7508.689096574109
1,0,1,1,0,45,14064.679698457165,11848.48734328884,3230.4550518056476
1,0,1,1,0,23,6048.437142108895,10280.689910008197,8451.619756191412
1,0,1,1,0,47,11230.518424118574,8019.065368411977,8825.871130069234
0,0,0,0,0,18,6580.327354999225,9555.968762608376,28702.574119541896
