black,hispanic,married,nodegree,treat,age,education,re74,re75,re78
1,0,1,1,1,25,10,5706.221987431988,0.0,10116.69389135703
1,0,0,1,1,17,7,8380.29244306401,1043.14681929332,9644.200907505245
1,0,0,1,0,35,8,4305.827912867811,2737.707180474368,0.0
1,0,1,1,0,17,11,7693.694189799695,0.0,1490.6089118042632
1,0,1,1,0,37,10,0.0,0.0,15438.800065194107
1,0,1,0,1,28,12,1503.2370046819553,316.1229576679867,4705.9117060126355
0,0,1,1,0,27,9,17214.28117220254,17597.811410800237,14362.554102839274
1,0,0,1,0,21,9,0.0,0.0,1245.978165575923
1,0,1,0,0,25,13,7907.730294502679,2525.515759158337,4384.1732612242395
1,0,0,1,1,32,11,4586.287862725834,2891.8448349093114,19891.325197613558
1,0,1,0,1,24,12,5701.485172428025,2867.3510958646466,8479.702906036646
1,0,1,1,1,32,10,0.0,3872.457000944329,7287.320546763503
1,0,1,1,1,23,11,3799.9062154228886,451.0684567222389,5906.606895802635
0,1,0,1,0,22,10,2823.5393579329475,2812.74667660301,6074.551616966634
1,0,1,1,1,22,9,2052.845916161644,0.0,10541.731000528329
0,0,1,1,0,22,10,5736.73699426904,5426.711104314786,5398.657676464993
1,0,1,1,0,28,11,2986.4579455855323,4678.8156689842635,0.0
1,0,1,0,1,40,13,2250.221410048403,0.0,11733.530441049732
1,0,0,1,1,27,8,0.0,900.1789688465174,12557.248679960328
0,1,1,1,0,23,10,4815.323222432561,6522.252809717739,14077.596083519815
1,0,1,1,1,26,13,0.0,0.0,5483.643997161974
1,0,1,1,1,24,10,1288.7665357001806,0.0,8112.632824792114
1,0,0,1,0,21,11,15626.435740561785,7730.860867798707,6495.397165000622
1,0,1,1,1,32,8,0.0,0.0,12998.647814690134
1,0,1,1,1,26,10,0.0,888.1970492301728,5116.366494910589
1,0,1,1,1,35,8,6358.807935747967,2935.191673299547,12445.560101920997
1,0,1,1,1,32,12,0.0,0.0,8969.721848624937
1,0,1,1,0,36,10,0.0,0.0,10345.76937367586
1,0,0,1,0,38,7,6897.184727455826,2695.8900307341455,16126.404380419015
0,0,1,1,0,20,10,4950.902653214067,166.536804720286,6869.119669413461
1,0,1,0,0,23,13,0.0,0.0,6163.171879786963
1,0,1,0,1,36,12,10516.79977213382,2783.4030159582335,11962.491379924879
1,0,0,1,1,23,8,0.0,0.0,7250.567821620369
1,0,0,1,0,23,11,1657.1675566865683,0.0,0.0
1,0,1,0,1,27,12,10744.815203887756,4464.587568527775,20051.25563943718
1,0,1,1,1,21,10,658.7080186479072,0.0,5245.062904235812
1,0,1,1,1,22,8,5018.018606365981,2429.1368741843803,12992.663626901704
0,0,1,1,1,23,10,9722.948558824584,8619.901453079947,9852.767553459871
1,0,1,1,1,29,11,0.0,0.0,20828.351715543467
1,0,1,1,1,21,11,0.0,0.0,4625.751859640392
1,0,1,1,1,28,9,4546.821658846506,2273.165660814122,16685.16586936546
1,0,1,1,0,26,10,0.0,1947.6371672837643,4366.142014692166
1,0,1,1,0,29,9,2436.178984372658,0.0,4330.7528756452375
1,0,0,0,0,20,12,0.0,0.0,5911.964139268657
1,0,1,0,0,27,12,0.0,662.510660260768,974.2354361243883
1,0,1,1,0,18,9,1657.1862639178157,1718.1254081130842,0.0
1,0,1,1,1,19,11,6764.716474800999,1050.9510280507432,4496.156677477038
1,0,1,1,1,23,10,0.0,193.9099362721836,5580.715935244822
1,0,1,1,1,34,8,0.0,0.0,9399.017796833294
1,0,1,1,1,17,11,0.0,0.0,4502.752509913082
0,1,1,1,1,41,6,4868.187912726094,4126.689996716554,5422.1884797077355
1,0,1,0,0,23,13,6653.006260338245,4005.313764197208,8334.978963331716
1,0,1,1,1,28,8,314.6397681059332,0.0,14285.40302965284
1,0,0,1,1,26,9,0.0,1316.4562449325122,4885.645748552392
1,0,1,1,1,30,9,0.0,0.0,12940.97877464992
1,0,1,1,1,24,10,8067.634918530586,1241.7895161455467,5743.9876233291025
1,0,1,0,0,24,12,8826.573054307075,2207.249747518863,0.0
1,0,0,1,1,23,11,2988.16517282992,349.19989237236325,4994.731422347862
1,0,1,1,1,21,12,0.0,970.9087577284506,12304.156654082799
1,0,0,1,1,19,11,9176.834819312684,1067.3580834419768,13871.161403776925
1,0,1,0,1,28,11,1819.463674276556,1070.386035012567,7766.660160618731
1,0,1,1,1,24,8,0.0,0.0,16135.831520548301
1,0,1,0,0,32,13,6421.342147026384,2044.9995685747372,9126.894128459222
1,0,1,1,1,28,10,7857.87691528457,4483.983564793223,9380.329767708385
0,0,0,1,1,16,9,16226.63303426524,8492.63717199552,9412.666406143402
0,0,1,1,0,20,9,5476.52601166247,4974.906006840176,8871.980361984777
1,0,1,1,0,26,10,0.0,0.0,0.0
1,0,0,1,1,28,9,7149.6033785821355,860.367587206807,5604.868504973774
0,1,1,0,0,34,12,0.0,0.0,6675.58572859028
1,0,1,1,1,22,10,34.9691007018921,5778.575658805966,4767.9414635012545
1,0,0,1,1,21,10,8699.300214833725,2807.8297235668133,4740.703466656471
1,0,1,0,1,24,12,6188.807759251159,0.0,5411.939967934188
1,0,1,1,1,33,10,0.0,3308.7494558887306,17282.66233342331
0,0,1,0,1,29,13,2715.2929557858397,915.7245832991073,20157.625487109704
0,1,0,1,0,32,9,0.0,0.0,0.0
1,0,0,1,0,27,10,4170.706125942223,4555.635716805175,4701.848077411848
1,0,1,1,1,38,8,2119.65006746749,3928.5776408876263,15049.51079788041
1,0,0,1,1,20,9,11545.63617033522,835.7560759775404,21825.32839209301
0,1,1,1,1,20,10,1118.3372131468689,0.0,10759.629902735054
1,0,1,1,1,30,9,6404.438326233335,0.0,4614.687196976143
0,0,1,1,1,19,10,6185.581660927755,695.5336322592925,6514.325101491972
1,0,1,0,0,32,12,6467.439178890527,2536.7139690272547,12465.552073401383
1,0,0,1,1,19,9,1912.4459024958562,0.0,8361.57764766117
0,0,0,1,1,21,9,11541.247071014415,11172.81617569966,14131.313537345686
1,0,1,1,0,31,9,9410.380777193866,5204.938496467215,0.0
1,0,0,1,1,30,11,0.0,0.0,4694.482717980743
1,0,1,0,1,32,12,840.0202746984608,2020.6044386813437,4767.20611222657
1,0,0,1,1,20,9,0.0,0.0,4857.234838770242
1,0,0,1,1,27,10,11115.384373235684,5079.132051848472,4377.075389556514
1,0,1,1,1,30,9,1851.7629690855895,0.0,5651.627852007413
0,0,0,1,0,17,9,17871.55041891696,13423.30871233735,5461.497373592597
0,0,1,1,1,25,11,0.0,3509.225074735425,8470.113885954659
0,0,1,1,0,22,9,0.0,2314.576642930764,9859.976019886219
0,1,1,1,0,26,5,737.4426077602623,0.0,365.34361129539593
1,0,0,1,1,24,10,2643.053041584519,0.0,7245.814593097058
1,0,1,1,1,38,9,0.0,0.0,12005.185050649434
0,1,1,1,1,18,8,520.1832649366471,3044.9927744355828,14850.482600251871
1,0,1,1,1,26,7,0.0,614.9930437261565,16144.828200285956
1,0,1,1,1,30,11,2712.8187395550576,1279.264518434836,14240.979630132044
0,0,1,0,0,26,12,0.0,160.94170042964268,14849.987601556897
0,0,0,1,0,16,10,10851.28960166749,5580.766717745673,4063.9783336307437
1,0,1,1,1,23,12,1637.1866768352825,718.7763311900251,7591.333301342659
1,0,1,1,0,23,10,222.97625991580685,2258.635161421198,5861.7837707391
0,1,1,1,0,30,11,0.0,0.0,0.0
0,1,1,1,0,27,9,1598.1039933479128,2383.303854819337,4012.6784950586516
1,0,1,1,1,38,7,2977.1954595128045,0.0,6960.470978100237
1,0,1,1,1,20,10,9220.171069882788,1181.4721555756703,5528.898280097274
0,1,1,0,1,29,12,1934.9526805130681,3030.304328510666,11730.614811038131
1,0,1,1,1,28,10,191.63033169660366,2606.552060233287,20070.581575562646
