black,hispanic,married,nodegree,treat,age,education,re74,re75,re78
1,0,1,0,0,39,14,13583.615481392555,11690.588670655612,24959.305734559424
0,1,1,0,0,38,14,6846.13844071821,13850.873429853234,32256.746933986084
0,0,1,0,0,42,15,7417.470832158442,0.0,0.0
0,0,1,0,0,33,15,12809.284766418625,15105.87630020385,3955.904668902931
0,0,1,0,0,44,15,41901.461505469575,39739.35998989471,50124.5697905057
0,0,0,0,1,33,15,23718.896121528574,28753.18581565553,54086.14289562726
0,0,1,0,0,40,15,25311.22194855741,23334.122896811412,40617.47264290114
0,0,1,0,0,41,16,53075.6259357978,58360.4635924077,43034.28416432654
0,0,1,0,0,29,15,32475.656932820784,20924.505029140222,16387.28468871877
1,0,1,0,1,20,11,9991.291581114128,2124.861733298276,12969.472277640036
1,0,1,1,1,59,6,24971.404592819334,27246.42310073413,23102.21609869254
0,0,1,0,0,35,16,31368.491832789732,33381.47416508841,0.0
0,0,1,0,0,31,16,51168.864261897135,57268.101855060086,72668.30843623921
0,0,1,0,0,27,15,3042.2098144444026,12466.866473533875,0.0
0,0,0,0,1,37,11,4541.636996038942,11984.228744356964,33883.68467061824
1,0,1,0,0,29,13,12498.7965510322,12859.718311061117,16641.119133311386
0,0,1,0,0,25,16,27673.40263236091,37871.93382299656,16360.014540261067
0,0,1,0,0,27,16,16335.048179091802,13635.717535254365,22711.15947655355
0,0,1,1,0,42,7,18257.343829654656,13593.346707702804,26089.093101223258
0,0,0,0,0,16,17,4592.591972047954,8867.192868794316,6506.253050865289
0,0,1,1,0,29,11,26411.16993680183,23449.859069356608,23027.52590224511
0,0,1,0,0,38,14,44671.261969127736,43524.066597980884,50715.61657563152
0,0,1,1,0,50,6,0.0,0.0,0.0
1,0,1,0,1,32,11,25225.06978541684,20005.46100221398,34253.40457438034
0,0,1,0,0,32,15,13393.089847632908,14313.666090424103,4484.632015351235
0,0,1,1,1,42,11,22481.177488200075,6470.123582761615,15073.557824326857
1,0,1,1,1,37,12,23836.983313049295,17223.672958339263,34543.64059391311
1,0,1,1,1,48,10,3048.290210665531,10779.817297177835,13652.699369666188
1,0,1,0,0,32,13,17119.4675034107,29513.468077456728,28928.323765080393
0,0,1,0,1,37,19,59165.49497800767,62106.7193168541,77173.44193787794
0,0,1,0,0,34,12,25185.90395455851,24528.381082330063,42607.33696595191
0,1,0,0,0,47,14,35788.48996192731,24166.424447806283,39026.104641916885
0,0,1,0,0,37,14,25471.870208583743,24483.455396486243,28203.130071930816
0,0,1,0,1,39,18,44379.19431748882,48490.93528325131,47291.68779279106
0,0,1,0,1,23,15,21904.88037439556,25142.790800155777,22505.229013283744
0,0,1,0,0,27,15,29422.123358212582,29635.521443116235,26707.435965950317
1,0,1,1,1,45,7,6791.567546868345,1522.7251504044852,11886.844597778163
1,0,1,1,0,31,6,5643.654027313758,6467.900874468807,11575.640326375122
0,0,0,1,1,52,9,0.0,0.0,5158.887125734087
0,0,0,0,0,37,13,23994.854074540403,45139.79113719522,37971.15009584393
1,0,1,0,0,29,12,17077.75331940115,11095.955123772823,18573.22595382713
0,0,1,1,0,35,7,3966.732721651195,19796.61341306337,1079.735069925202
0,0,1,0,1,38,15,26688.697594360005,23947.977322293056,42840.96232143174
0,0,1,0,0,37,14,18953.469551287886,17924.128092166513,25575.77486484215
0,0,1,1,0,40,8,18772.190165908036,15440.991946535305,1035.8423490765163
0,0,1,0,0,37,12,31672.88153360862,33966.83991137653,32376.677259319058
0,0,1,0,0,40,12,13760.88077518847,11067.860067766089,21518.59998713779
0,0,0,1,0,21,9,14624.144504027307,18675.830073894933,20574.545979041042
0,0,1,1,1,35,11,45095.29068549421,34836.42059899043,51240.20122988267
0,0,1,0,0,21,13,22083.414007312298,5544.516116774321,46066.31093847805
1,0,1,0,1,29,12,31697.290888614207,25693.11579309737,25044.55082872547
0,0,1,1,1,53,8,21931.395375297863,19163.839309675765,25509.718561217804
0,0,1,0,1,37,15,32945.4685305458,36731.329889437715,39309.27360947498
0,0,1,0,0,39,15,38313.82385033184,35617.013352054826,43824.171276016954
0,0,1,0,0,26,14,10944.480116729996,17308.942757455443,5780.487201654487
0,0,1,1,1,46,10,7664.36520783595,9562.317974085407,6114.077156686048
0,0,1,0,0,36,15,17025.27344704605,21360.49819961551,35779.236368710146
1,0,1,0,0,33,11,13029.891118438693,13781.216741691642,25696.315199584285
